--------------------------------------------------------------------------------
		marvellous infosystems process log

		log file is created at: Fri Jun 20 17:00:58 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': None, 'pid': 20408, 'name': 'DDVRulesProcessor.exe'} 
{'username': None, 'pid': 20436, 'name': 'servicehost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 20556, 'name': 'DellPair.exe'} 
{'username': None, 'pid': 20636, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 20720, 'name': 'WindowsTerminal.exe'} 
{'username': None, 'pid': 20828, 'name': 'DDVDataCollector.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21232, 'name': 'unsecapp.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21252, 'name': 'svchost.exe'} 
{'username': None, 'pid': 21288, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21552, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21580, 'name': 'RtkAudUService64.exe'} 
{'username': None, 'pid': 21624, 'name': 'SearchIndexer.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21712, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21716, 'name': 'SearchHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 21988, 'name': 'WavesSvc64.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22096, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22372, 'name': 'steam.exe'} 
{'username': None, 'pid': 22560, 'name': 'SearchProtocolHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22592, 'name': 'conhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22820, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22832, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22856, 'name': 'mc-extn-browserhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 22992, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23112, 'name': 'Code.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23184, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23364, 'name': 'msedge.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23656, 'name': 'explorer.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23892, 'name': 'UserOOBEBroker.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 23896, 'name': 'steamwebhelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 24224, 'name': 'ctfmon.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 24268, 'name': 'mc-fw-host.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 24396, 'name': 'RuntimeBroker.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 24720, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 24744, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 25188, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 25768, 'name': 'steamwebhelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 25772, 'name': 'taskhostw.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 25840, 'name': 'msedge.exe'} 
{'username': None, 'pid': 26064, 'name': 'steamservice.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26076, 'name': 'steamwebhelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26152, 'name': 'RuntimeBroker.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26240, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26268, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26308, 'name': 'OneDrive.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 26460, 'name': 'Dell.UCA.Systray.exe'} 
{'username': None, 'pid': 26828, 'name': 'fontdrvhost.exe'} 
{'username': None, 'pid': 26844, 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27180, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27200, 'name': 'OpenConsole.exe'} 
{'username': None, 'pid': 27256, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27268, 'name': 'powershell.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27296, 'name': 'backgroundTaskHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27348, 'name': 'python.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27660, 'name': 'steamwebhelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27668, 'name': 'backgroundTaskHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 27796, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 28084, 'name': 'FileCoAuth.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 28268, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 28416, 'name': 'Code.exe'} 
{'username': None, 'pid': 28568, 'name': 'dwm.exe'} 
--------------------------------------------------------------------------------
